complete_variant_count,expected_variant_count,model_key,status
6,6,af|314159|V2PMHC_805576114a6e7df7|m1,complete
6,6,af|314159|V2PMHC_805576114a6e7df7|m2,complete
6,6,af|314159|V2PMHC_805576114a6e7df7|m3,complete
6,6,af|314159|V2PMHC_805576114a6e7df7|m4,complete
6,6,af|314159|V2PMHC_8237840b8e248746|m0,complete
6,6,af|314159|V2PMHC_8237840b8e248746|m1,complete
6,6,af|314159|V2PMHC_8237840b8e248746|m2,complete
6,6,af|314159|V2PMHC_8237840b8e248746|m3,complete
6,6,af|314159|V2PMHC_8237840b8e248746|m4,complete
6,6,af|314159|V2PMHC_8fc08fae0f1ffde1|m0,complete
6,6,af|314159|V2PMHC_8fc08fae0f1ffde1|m1,complete
6,6,af|314159|V2PMHC_8fc08fae0f1ffde1|m2,complete
6,6,af|314159|V2PMHC_8fc08fae0f1ffde1|m3,complete
6,6,af|314159|V2PMHC_8fc08fae0f1ffde1|m4,complete
6,6,af|314159|V2PMHC_9752d8e24d9b0da8|m0,complete
6,6,af|314159|V2PMHC_9752d8e24d9b0da8|m1,complete
6,6,af|314159|V2PMHC_9752d8e24d9b0da8|m2,complete
6,6,af|314159|V2PMHC_9752d8e24d9b0da8|m3,complete
6,6,af|314159|V2PMHC_9752d8e24d9b0da8|m4,complete
6,6,af|314159|V2PMHC_9894a39c837e8dff|m0,complete
6,6,af|314159|V2PMHC_9894a39c837e8dff|m1,complete
6,6,af|314159|V2PMHC_9894a39c837e8dff|m2,complete
6,6,af|314159|V2PMHC_9894a39c837e8dff|m3,complete
6,6,af|314159|V2PMHC_9894a39c837e8dff|m4,complete
6,6,af|314159|V2PMHC_a9689c9b7442faad|m0,complete
6,6,af|314159|V2PMHC_a9689c9b7442faad|m1,complete
6,6,af|314159|V2PMHC_a9689c9b7442faad|m2,complete
6,6,af|314159|V2PMHC_a9689c9b7442faad|m3,complete
6,6,af|314159|V2PMHC_a9689c9b7442faad|m4,complete
6,6,af|314159|V2PMHC_aca4d95566b71e51|m0,complete
6,6,af|314159|V2PMHC_aca4d95566b71e51|m1,complete
6,6,af|314159|V2PMHC_aca4d95566b71e51|m2,complete
6,6,af|314159|V2PMHC_aca4d95566b71e51|m3,complete
6,6,af|314159|V2PMHC_aca4d95566b71e51|m4,complete
6,6,af|314159|V2PMHC_b9515727297f20be|m0,complete
6,6,af|314159|V2PMHC_b9515727297f20be|m1,complete
6,6,af|314159|V2PMHC_b9515727297f20be|m2,complete
6,6,af|314159|V2PMHC_b9515727297f20be|m3,complete
6,6,af|314159|V2PMHC_b9515727297f20be|m4,complete
6,6,af|314159|V2PMHC_ba30260fa79864f0|m0,complete
6,6,af|314159|V2PMHC_ba30260fa79864f0|m1,complete
6,6,af|314159|V2PMHC_ba30260fa79864f0|m2,complete
6,6,af|314159|V2PMHC_ba30260fa79864f0|m3,complete
6,6,af|314159|V2PMHC_ba30260fa79864f0|m4,complete
6,6,af|314159|V2PMHC_bd512a4ef37be178|m0,complete
6,6,af|314159|V2PMHC_bd512a4ef37be178|m1,complete
6,6,af|314159|V2PMHC_bd512a4ef37be178|m2,complete
6,6,af|314159|V2PMHC_bd512a4ef37be178|m3,complete
