layer,method,panel_seed,positive_pair_id,positive_rank,source
alphafold,surface_v2_normal,314159,PAIR_HY1B11_UL15_MBP,6,this_package_primary_surface_analysis
alphafold,surface_v2_shape,314159,PAIR_HY1B11_UL15_MBP,6,this_package_primary_surface_analysis
alphafold,surface_v2_peptide,271828,PAIR_HY2E11_BALF5_MBP,21,this_package_primary_surface_analysis
alphafold,surface_v2_composite,271828,PAIR_HY2E11_BALF5_MBP,9,this_package_primary_surface_analysis
alphafold,surface_v2_helix,271828,PAIR_HY2E11_BALF5_MBP,2,this_package_primary_surface_analysis
alphafold,surface_v2_height,271828,PAIR_HY2E11_BALF5_MBP,1,this_package_primary_surface_analysis
alphafold,surface_v2_normal,271828,PAIR_HY2E11_BALF5_MBP,1,this_package_primary_surface_analysis
alphafold,surface_v2_shape,271828,PAIR_HY2E11_BALF5_MBP,1,this_package_primary_surface_analysis
alphafold,surface_v2_peptide,314159,PAIR_HY2E11_BALF5_MBP,18,this_package_primary_surface_analysis
alphafold,surface_v2_composite,314159,PAIR_HY2E11_BALF5_MBP,6,this_package_primary_surface_analysis
alphafold,surface_v2_helix,314159,PAIR_HY2E11_BALF5_MBP,1,this_package_primary_surface_analysis
alphafold,surface_v2_height,314159,PAIR_HY2E11_BALF5_MBP,1,this_package_primary_surface_analysis
alphafold,surface_v2_normal,314159,PAIR_HY2E11_BALF5_MBP,1,this_package_primary_surface_analysis
alphafold,surface_v2_shape,314159,PAIR_HY2E11_BALF5_MBP,1,this_package_primary_surface_analysis
alphafold,surface_v2_peptide,271828,PAIR_OB1A12_ENGA_MBP,2,this_package_primary_surface_analysis
alphafold,surface_v2_composite,271828,PAIR_OB1A12_ENGA_MBP,2,this_package_primary_surface_analysis
alphafold,surface_v2_helix,271828,PAIR_OB1A12_ENGA_MBP,2,this_package_primary_surface_analysis
alphafold,surface_v2_height,271828,PAIR_OB1A12_ENGA_MBP,7,this_package_primary_surface_analysis
alphafold,surface_v2_normal,271828,PAIR_OB1A12_ENGA_MBP,7,this_package_primary_surface_analysis
alphafold,surface_v2_shape,271828,PAIR_OB1A12_ENGA_MBP,7,this_package_primary_surface_analysis
alphafold,surface_v2_peptide,314159,PAIR_OB1A12_ENGA_MBP,1,this_package_primary_surface_analysis
alphafold,surface_v2_composite,314159,PAIR_OB1A12_ENGA_MBP,1,this_package_primary_surface_analysis
alphafold,surface_v2_helix,314159,PAIR_OB1A12_ENGA_MBP,1,this_package_primary_surface_analysis
alphafold,surface_v2_height,314159,PAIR_OB1A12_ENGA_MBP,10,this_package_primary_surface_analysis
alphafold,surface_v2_normal,314159,PAIR_OB1A12_ENGA_MBP,3,this_package_primary_surface_analysis
alphafold,surface_v2_shape,314159,PAIR_OB1A12_ENGA_MBP,10,this_package_primary_surface_analysis
experimental_pdb,surface_v2_peptide,pdb,PAIR_HY2E11_BALF5_MBP,5,this_package_primary_surface_analysis
experimental_pdb,surface_v2_composite,pdb,PAIR_HY2E11_BALF5_MBP,6,this_package_primary_surface_analysis
experimental_pdb,surface_v2_helix,pdb,PAIR_HY2E11_BALF5_MBP,7,this_package_primary_surface_analysis
experimental_pdb,surface_v2_height,pdb,PAIR_HY2E11_BALF5_MBP,4,this_package_primary_surface_analysis
experimental_pdb,surface_v2_normal,pdb,PAIR_HY2E11_BALF5_MBP,5,this_package_primary_surface_analysis
experimental_pdb,surface_v2_shape,pdb,PAIR_HY2E11_BALF5_MBP,4,this_package_primary_surface_analysis
experimental_pdb,surface_v2_peptide,pdb,PAIR_OB1A12_ENGA_MBP,6,this_package_primary_surface_analysis
experimental_pdb,surface_v2_composite,pdb,PAIR_OB1A12_ENGA_MBP,6,this_package_primary_surface_analysis
