composite_point_count,density,helix_point_count,layer,offset_A,pair_id,pairwise_map_coverage,panel_seed,peptide_point_count,positive_pair_id,status,variant
3672,coarse,,alphafold,0.0,s271828|EBV_IEDB_ffe96a37c427|HUMAN_BACKGROUND_2273188,0.9980973090513726,271828,1158,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4082,coarse,,alphafold,0.0,s314159|HY1B11_UL15|HY1B11_MBP,0.99658203125,314159,1192,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3672,coarse,,alphafold,0.0,s314159|EBV_IEDB_0e2190f44775|HUMAN_BACKGROUND_1618754,0.9847552821610056,314159,1206,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3942,coarse,,alphafold,0.0,s314159|EBV_IEDB_0e2190f44775|HUMAN_BACKGROUND_175453,0.992603550295858,314159,1204,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3897,coarse,,alphafold,0.0,s314159|EBV_IEDB_0e2190f44775|HUMAN_BACKGROUND_186917,0.9820019723865878,314159,1328,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3958,coarse,,alphafold,0.0,s314159|EBV_IEDB_0e2190f44775|HUMAN_BACKGROUND_2258538,0.9951491632306573,314159,1172,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3955,coarse,,alphafold,0.0,s314159|EBV_IEDB_0e2190f44775|HUMAN_BACKGROUND_2273188,0.9951491632306573,314159,1123,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3672,coarse,,alphafold,0.0,s314159|EBV_IEDB_5e7561364e47|HUMAN_BACKGROUND_1618754,0.9849785407725322,314159,1215,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4023,coarse,,alphafold,0.0,s314159|EBV_IEDB_5e7561364e47|HUMAN_BACKGROUND_175453,0.9862879529872673,314159,1185,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4000,coarse,,alphafold,0.0,s314159|EBV_IEDB_5e7561364e47|HUMAN_BACKGROUND_186917,0.9849790691947796,314159,1270,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4050,coarse,,alphafold,0.0,s314159|EBV_IEDB_5e7561364e47|HUMAN_BACKGROUND_2258538,0.9924866698982064,314159,1162,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4042,coarse,,alphafold,0.0,s314159|EBV_IEDB_5e7561364e47|HUMAN_BACKGROUND_2273188,0.9924866698982064,314159,1127,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3592,coarse,,alphafold,0.0,s314159|EBV_IEDB_6fb6893091a7|HUMAN_BACKGROUND_1618754,0.9708108108108108,314159,1167,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3674,coarse,,alphafold,0.0,s314159|EBV_IEDB_6fb6893091a7|HUMAN_BACKGROUND_175453,0.9929729729729729,314159,1197,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3632,coarse,,alphafold,0.0,s314159|EBV_IEDB_6fb6893091a7|HUMAN_BACKGROUND_186917,0.9816216216216216,314159,1282,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3700,coarse,,alphafold,0.0,s314159|EBV_IEDB_6fb6893091a7|HUMAN_BACKGROUND_2258538,0.9980643600290346,314159,1177,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3697,coarse,,alphafold,0.0,s314159|EBV_IEDB_6fb6893091a7|HUMAN_BACKGROUND_2273188,0.9963689179375453,314159,1115,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3663,coarse,,alphafold,0.0,s314159|EBV_IEDB_bef86355da5a|HUMAN_BACKGROUND_1618754,0.9825643776824035,314159,1136,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4011,coarse,,alphafold,0.0,s314159|EBV_IEDB_bef86355da5a|HUMAN_BACKGROUND_175453,0.9833496571988247,314159,1106,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3969,coarse,,alphafold,0.0,s314159|EBV_IEDB_bef86355da5a|HUMAN_BACKGROUND_186917,0.9824257425742574,314159,1240,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4040,coarse,,alphafold,0.0,s314159|EBV_IEDB_bef86355da5a|HUMAN_BACKGROUND_2258538,0.9924205378973106,314159,1145,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4036,coarse,,alphafold,0.0,s314159|EBV_IEDB_bef86355da5a|HUMAN_BACKGROUND_2273188,0.9926650366748166,314159,1065,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
3714,coarse,,alphafold,0.0,s314159|EBV_IEDB_ffe96a37c427|HUMAN_BACKGROUND_1618754,0.9956479690522244,314159,1077,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4066,coarse,,alphafold,0.0,s314159|EBV_IEDB_ffe96a37c427|HUMAN_BACKGROUND_175453,0.994675701839303,314159,1070,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4058,coarse,,alphafold,0.0,s314159|EBV_IEDB_ffe96a37c427|HUMAN_BACKGROUND_186917,0.9931490090530952,314159,1246,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4112,coarse,,alphafold,0.0,s314159|EBV_IEDB_ffe96a37c427|HUMAN_BACKGROUND_2258538,0.9956416464891041,314159,1024,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4113,coarse,,alphafold,0.0,s314159|EBV_IEDB_ffe96a37c427|HUMAN_BACKGROUND_2273188,0.9956427015250545,314159,988,PAIR_HY1B11_UL15_MBP,complete,npbe_eps4_grid0.50
4105,coarse,,alphafold,0.0,s271828|HY2E11_BALF5|HY2E11_MBP,0.9983034415899176,271828,1200,PAIR_HY2E11_BALF5_MBP,complete,npbe_eps4_grid0.50
